Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,30,0.15,0.15,0.4680092698677013
100% Corpus,30,0.15,0.2,0.4665541435054755
100% Corpus,30,0.15,0.5,0.4921013629350741
100% Corpus,30,0.15,0.7,0.5744853389755242
100% Corpus,30,0.15,0.9,0.5527190278410787
100% Corpus,30,0.15,1.5,0.58440855745156
100% Corpus,30,0.2,0.15,0.47152674624357466
100% Corpus,30,0.2,0.2,0.46687591075488943
100% Corpus,30,0.2,0.5,0.4869632088848073
100% Corpus,30,0.2,0.7,0.579010755120472
100% Corpus,30,0.2,0.9,0.5914960441273485
100% Corpus,30,0.2,1.5,0.58754485314793
100% Corpus,30,0.5,0.15,0.45944058698909707
100% Corpus,30,0.5,0.2,0.4723046496504289
100% Corpus,30,0.5,0.5,0.4739003153394255
100% Corpus,30,0.5,0.7,0.5432374213284196
100% Corpus,30,0.5,0.9,0.6246205545866097
100% Corpus,30,0.5,1.5,0.6630676701753647
100% Corpus,30,0.6,0.15,0.5061959040948012
100% Corpus,30,0.6,0.2,0.5069993526873213
100% Corpus,30,0.6,0.5,0.4994268960289136
100% Corpus,30,0.6,0.7,0.6378915808957765
100% Corpus,30,0.6,0.9,0.6769295065779218
100% Corpus,30,0.6,1.5,0.6483789134384312
100% Corpus,30,0.7,0.15,0.5169917249228791
100% Corpus,30,0.7,0.2,0.5067270149737707
100% Corpus,30,0.7,0.5,0.5840038106779504
100% Corpus,30,0.7,0.7,0.6977160415205851
100% Corpus,30,0.7,0.9,0.6447012411824172
100% Corpus,30,0.7,1.5,0.36889258541662745
100% Corpus,30,0.9,0.15,0.4602744221065425
100% Corpus,30,0.9,0.2,0.4752333405761663
100% Corpus,30,0.9,0.5,0.6177961266708681
100% Corpus,30,0.9,0.7,0.6128255417297152
100% Corpus,30,0.9,0.9,0.5653619195570364
100% Corpus,30,0.9,1.5,0.46723890557656517
100% Corpus,30,1.5,0.15,0.4600273445860801
100% Corpus,30,1.5,0.2,0.45943694630366044
100% Corpus,30,1.5,0.5,0.4582594397147304
100% Corpus,30,1.5,0.7,0.39503845941455185
100% Corpus,30,1.5,0.9,0.39457592661498503
100% Corpus,30,1.5,1.5,0.296335989477478
100% Corpus,30,1.75,0.15,0.45147907864009945
100% Corpus,30,1.75,0.2,0.45818540016314224
100% Corpus,30,1.75,0.5,0.4457670970778562
100% Corpus,30,1.75,0.7,0.43212826544869626
100% Corpus,30,1.75,0.9,0.42308123974838413
100% Corpus,30,1.75,1.5,0.28683940691105764
100% Corpus,40,0.15,0.15,0.465559271633175
100% Corpus,40,0.15,0.2,0.4689162300029226
100% Corpus,40,0.15,0.5,0.4885438605603861
100% Corpus,40,0.15,0.7,0.5944528029748646
100% Corpus,40,0.15,0.9,0.6236384582232842
100% Corpus,40,0.15,1.5,0.5711645096957666
100% Corpus,40,0.2,0.15,0.45563246687509046
100% Corpus,40,0.2,0.2,0.4684245639651004
100% Corpus,40,0.2,0.5,0.48352457931911924
100% Corpus,40,0.2,0.7,0.5678631494090209
100% Corpus,40,0.2,0.9,0.5864927887031828
100% Corpus,40,0.2,1.5,0.5375067605757444
100% Corpus,40,0.5,0.15,0.4791917155167603
100% Corpus,40,0.5,0.2,0.46658100718829176
100% Corpus,40,0.5,0.5,0.5702470676907044
100% Corpus,40,0.5,0.7,0.6456588713753906
100% Corpus,40,0.5,0.9,0.6775939964632206
100% Corpus,40,0.5,1.5,0.6335981706932282
100% Corpus,40,0.6,0.15,0.520105982812301
100% Corpus,40,0.6,0.2,0.5519014210979413
100% Corpus,40,0.6,0.5,0.6796913539853229
100% Corpus,40,0.6,0.7,0.7308171435691947
100% Corpus,40,0.6,0.9,0.6271495241742195
100% Corpus,40,0.6,1.5,0.6302607850068106
100% Corpus,40,0.7,0.15,0.49321232121417624
100% Corpus,40,0.7,0.2,0.5193034018769647
100% Corpus,40,0.7,0.5,0.672111572040522
100% Corpus,40,0.7,0.7,0.665028484150256
100% Corpus,40,0.7,0.9,0.6337430359783955
100% Corpus,40,0.7,1.5,0.4736750356574582
100% Corpus,40,0.9,0.15,0.4711056350071674
100% Corpus,40,0.9,0.2,0.4880341971788863
100% Corpus,40,0.9,0.5,0.6477234740169487
100% Corpus,40,0.9,0.7,0.605887826293957
100% Corpus,40,0.9,0.9,0.47681218296997596
100% Corpus,40,0.9,1.5,0.43913228923732345
100% Corpus,40,1.5,0.15,0.42325700398575244
100% Corpus,40,1.5,0.2,0.4367666030860873
100% Corpus,40,1.5,0.5,0.4454524825382614
100% Corpus,40,1.5,0.7,0.40887112785302476
100% Corpus,40,1.5,0.9,0.4288414984059066
100% Corpus,40,1.5,1.5,0.3051201569227441
100% Corpus,40,1.75,0.15,0.4338056275354127
100% Corpus,40,1.75,0.2,0.4391951846037639
100% Corpus,40,1.75,0.5,0.41514604736902383
100% Corpus,40,1.75,0.7,0.4603144558017268
100% Corpus,40,1.75,0.9,0.3931828848929322
100% Corpus,40,1.75,1.5,0.2857265900303197
