EPOCH,FSCORE
0,"0,32"
1,"0,39"
2,"0,46"
3,"0,46"
4,"0,46"
5,"0,46"
6,"0,48"
7,"0,48"
8,"0,49"
9,"0,5"
10,"0,5"
11,"0,5"
12,"0,51"
13,"0,51"
14,"0,51"
15,"0,52"
16,"0,53"
17,"0,52"
18,"0,52"
19,"0,52"
20,"0,52"
21,"0,52"
22,"0,52"
23,"0,53"
24,"0,52"
25,"0,52"
26,"0,52"
27,"0,52"
28,"0,52"
29,"0,52"
30,"0,52"
31,"0,52"
32,"0,53"
33,"0,53"
34,"0,52"
35,"0,52"
36,"0,52"
37,"0,52"
38,"0,52"
39,"0,52"
40,"0,52"
41,"0,53"
42,"0,52"
43,"0,53"
44,"0,52"
45,"0,52"
46,"0,52"
47,"0,52"
48,"0,52"
49,"0,52"
50,"0,53"
51,"0,52"
52,"0,51"
53,"0,52"
54,"0,52"
55,"0,52"
56,"0,52"
57,"0,52"
58,"0,52"
59,"0,52"
60,"0,52"
61,"0,52"
62,"0,52"
63,"0,53"
64,"0,53"
65,"0,53"
66,"0,52"
67,"0,52"
68,"0,52"
69,"0,52"
70,"0,52"
71,"0,52"
72,"0,52"
73,"0,52"
74,"0,52"
75,"0,52"
76,"0,53"
77,"0,52"
78,"0,52"
79,"0,52"
80,"0,52"
81,"0,52"
82,"0,53"
83,"0,52"
84,"0,52"
85,"0,53"
86,"0,52"
87,"0,52"
88,"0,52"
89,"0,52"
90,"0,52"
91,"0,52"
92,"0,52"
93,"0,53"
94,"0,53"
95,"0,53"
96,"0,52"
97,"0,53"
98,"0,52"
99,"0,52"
100,"0,52"
101,"0,52"
102,"0,52"
103,"0,52"
104,"0,52"
105,"0,52"
106,"0,52"
107,"0,52"
108,"0,52"
109,"0,52"
110,"0,52"
111,"0,52"
112,"0,52"
113,"0,53"
114,"0,52"
115,"0,52"
116,"0,52"
117,"0,52"
118,"0,52"
119,"0,52"
120,"0,53"
121,"0,52"
122,"0,52"
123,"0,52"
124,"0,52"
125,"0,52"
