EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	20:19:49	0	0.0100	2.343912614023698
2	20:31:30	0	0.0100	2.2186940488751707
3	20:43:34	0	0.0100	2.168331037784468
4	20:55:31	0	0.0100	2.1396453525359775
5	21:07:26	0	0.0100	2.1244905096223454
6	21:19:18	0	0.0100	2.106294619237887
7	21:31:02	0	0.0100	2.088931533904526
8	21:42:30	0	0.0100	2.0760838236462322
9	21:53:44	0	0.0100	2.063096921792906
10	22:04:52	0	0.0100	2.0438498486632337
11	22:15:41	0	0.0100	2.00240286026724
12	22:26:30	0	0.0100	1.9448148982488886
13	22:37:28	0	0.0100	1.9201035504593855
14	22:48:19	0	0.0100	1.9003557223276157
15	22:59:17	0	0.0100	1.8877600056951864
16	23:10:11	1	0.0100	1.8961768533606913
17	23:21:10	0	0.0100	1.8745057309205257
18	23:31:58	0	0.0100	1.864391332260137
19	23:42:47	0	0.0100	1.8499011169947754
20	23:53:32	0	0.0100	1.8207417277546671
21	00:04:29	0	0.0100	1.787833492644589
22	00:15:22	0	0.0100	1.7810704695546615
23	00:26:17	0	0.0100	1.7582939753159175
24	00:37:08	1	0.0100	1.7646821725991952
25	00:48:07	0	0.0100	1.752090395856799
26	00:59:03	0	0.0100	1.7414329384200906
27	01:09:46	0	0.0100	1.7165027871471659
28	01:20:45	1	0.0100	1.7231180519754739
29	01:31:48	2	0.0100	1.7222759572193471
30	01:42:46	0	0.0100	1.716340157055947
31	01:53:51	0	0.0100	1.7036896742783583
32	02:04:33	1	0.0100	1.715822884642312
33	02:15:24	2	0.0100	1.7084527348752354
34	02:26:22	0	0.0100	1.7016851559736386
35	02:37:14	0	0.0100	1.7013915796035548
36	02:48:01	0	0.0100	1.687501083218704
37	02:58:57	0	0.0100	1.6859000069754464
38	03:09:40	0	0.0100	1.6719598873911008
39	03:20:41	0	0.0100	1.6602157252677578
40	03:31:39	1	0.0100	1.6625330340196978
41	03:42:40	0	0.0100	1.6562094134420795
42	03:53:32	0	0.0100	1.651720026243189
43	04:04:25	0	0.0100	1.6288349738075842
44	04:15:13	1	0.0100	1.6351805606947818
45	04:26:00	0	0.0100	1.6152695260494792
46	04:36:50	0	0.0100	1.6135967284095794
47	04:47:33	1	0.0100	1.6148246378177256
48	04:58:20	2	0.0100	1.620479899065333
49	05:09:05	0	0.0100	1.5993064513496031
50	05:20:01	0	0.0100	1.5933917491801708
51	05:30:48	1	0.0100	1.594092743653672
52	05:41:35	0	0.0100	1.5924917089181767
53	05:52:25	0	0.0100	1.5911366157089881
54	06:03:26	0	0.0100	1.585477166194253
55	06:14:18	0	0.0100	1.576479029094767
56	06:25:11	0	0.0100	1.5727982452435425
57	06:36:00	0	0.0100	1.5640047072694778
58	06:46:39	1	0.0100	1.5806662645537461
59	06:57:30	0	0.0100	1.560302141215685
60	07:08:16	1	0.0100	1.561577520775519
61	07:19:01	0	0.0100	1.5580822953679094
62	07:29:40	0	0.0100	1.551007047541395
63	07:40:24	0	0.0100	1.542725168390833
64	07:51:22	1	0.0100	1.5555839264087403
65	08:02:08	0	0.0100	1.5380233779377
66	08:12:51	1	0.0100	1.5431648969399214
67	08:23:35	0	0.0100	1.533713148953246
68	08:34:23	0	0.0100	1.5201672178772552
